"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I just went through hell and back trying to restore my iPhone.",FALSE,0,NA,2015-07-04 12:13:58,FALSE,NA,"617305349595398144",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","havieru95",0,FALSE,FALSE,NA,NA
"2","Apple iPhone 5s - 32GB - Silver (Sprint) Smartphone Clean Esn  - Full read by eBay http://t.co/ANEnJqVFEk http://t.co/iw2j9HumoC",FALSE,0,NA,2015-07-04 12:13:58,FALSE,NA,"617305349469667328",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Laedwi__Huafmi",0,FALSE,FALSE,NA,NA
"3","HD pic Picture Creative Simple NBA Chicago Bulls Michael Jordan Apple Iphone 4S/4 Case Cover Dual Protective P http://t.co/Er3lRyUPOD",FALSE,0,NA,2015-07-04 12:13:58,FALSE,NA,"617305348647571456",NA,"<a href=""http://www.tsepa.net"" rel=""nofollow"">Manou Tweeting</a>","JohnHarrisson1",0,FALSE,FALSE,NA,NA
"4","Natural Black Slash Phone Protector Cover for iPhone 4  http://t.co/3mEhBeiJR3",FALSE,0,NA,2015-07-04 12:13:58,FALSE,NA,"617305346273624064",NA,"<a href=""http://www.squarespace.com"" rel=""nofollow"">Squarespace</a>","ysfgoods",0,FALSE,FALSE,NA,NA
"5","RT @H0TG0SSIP: Latest IPhone 6S Rose Gold Edition Ì†ΩÌ∏çÌ†ΩÌ∏ç

https://t.co/T22PAoj14d",FALSE,0,NA,2015-07-04 12:13:57,FALSE,NA,"617305345388638212",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","YourGirlkikiii",192,TRUE,FALSE,NA,NA
"6","2 in 1 fashion cool Cover case for iphone HTC One M9 TPU+PC hard Armor back Case for M9 pr‚Ä¶ http://t.co/MChoGjLrUD http://t.co/etIL2dnpLf",FALSE,0,NA,2015-07-04 12:13:57,FALSE,NA,"617305345380249600",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Vaahnu__Piurgo",0,FALSE,FALSE,NA,NA
"7","RT @H0TG0SSIP: Latest IPhone 6S Rose Gold Edition Ì†ΩÌ∏çÌ†ΩÌ∏ç

https://t.co/T22PAoj14d",FALSE,0,NA,2015-07-04 12:13:57,FALSE,NA,"617305345380229120",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Yourgirlkikii",192,TRUE,FALSE,NA,NA
"8","RT @H0TG0SSIP: Latest IPhone 6S Rose Gold Edition Ì†ΩÌ∏çÌ†ΩÌ∏ç

https://t.co/T22PAoj14d",FALSE,0,NA,2015-07-04 12:13:57,FALSE,NA,"617305345250185216",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheRealKingHef",192,TRUE,FALSE,NA,NA
"9","RT @H0TG0SSIP: Latest IPhone 6S Rose Gold Edition Ì†ΩÌ∏çÌ†ΩÌ∏ç

https://t.co/T22PAoj14d",FALSE,0,NA,2015-07-04 12:13:57,FALSE,NA,"617305345250172928",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UniqueOUTBURSTS",192,TRUE,FALSE,NA,NA
"10","RT @H0TG0SSIP: Latest IPhone 6S Rose Gold Edition Ì†ΩÌ∏çÌ†ΩÌ∏ç

https://t.co/T22PAoj14d",FALSE,0,NA,2015-07-04 12:13:57,FALSE,NA,"617305344964997120",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Silly_Roommate",192,TRUE,FALSE,NA,NA
